cbg_norm,sampling_bias,abs_sampling_bias,representation_ratio_final,abs_bias_rank_pct
360810402001,0.0006746511705213,0.0006746511705213,1.0621204776230206,0.10069065794256633
360810402002,-0.0016811839576496,0.0016811839576496,0.8133056025793075,0.2555434387495456
360810403002,0.0004312333142706,0.0004312333142706,1.0311354905056254,0.06670301708469648
360810403001,-0.0032291974402378,0.0032291974402378,0.915870249998176,0.4545619774627408
360810404003,8.025439176977817e-05,8.025439176977817e-05,1.0138877205160446,0.011268629589240277
360810404004,0.0019309873808269,0.0019309873808269,1.1294765444377926,0.2880770628862232
360810404002,-0.0089345938427478,0.0089345938427478,0.629754237766049,0.8827699018538713
360810404001,0.0008996483032803,0.0008996483032803,1.0943344343999268,0.13649581970192656
360810405001,0.0010254757961431,0.0010254757961431,1.0531386172284598,0.15412577244638315
360810407003,-0.0002908741538897,0.0002908741538897,0.983380379837114,0.042711741185023626
360810407001,-0.003078128527208,0.003078128527208,0.8107049160594318,0.4362050163576881
360810407002,-0.0011929912072346,0.0011929912072346,0.9137175635131374,0.18229734641948384
360810409002,-0.0069193087172985,0.0069193087172985,0.6736292056146003,0.7858960378044347
360810409001,-0.005584538043774,0.005584538043774,0.7381931128563322,0.6853871319520175
360810411001,-0.0011590814009531,0.0011590814009531,0.9335944373006682,0.17611777535441658
360810411002,-0.0105549925762749,0.0105549925762749,0.6366316699116016,0.9358415121773901
360810413002,-0.0019137100034838,0.0019137100034838,0.865052171543416,0.28607778989458377
360810413001,0.0027053621107652,0.0027053621107652,1.0653143186081968,0.38949472918938566
360810729002,0.002619956527101,0.002619956527101,1.4515268829740269,0.37713558705925115
360810731001,-0.0036838800070131,0.0036838800070131,0.6349783495547462,0.5096328607778989
360810731002,0.0016734691136977,0.0016734691136977,1.1797059692235383,0.2544529262086514
360810737001,0.0001143184949303,0.0001143184949303,1.0126452110546278,0.017266448564158487
360810737002,-0.0017884680641394,0.0017884680641394,0.841860532826606,0.26990185387131954
360810739004,-0.0033595905714765,0.0033595905714765,0.7057067868343432,0.4727371864776445
360810739003,-0.0034745578879206,0.0034745578879206,0.806313746114446,0.4870956015994184
360810739002,-0.0028089153312696,0.0028089153312696,0.6540184572706528,0.4016721192293711
360810739001,-0.0062538204575266,0.0062538204575266,0.4676098107385052,0.7393675027262814
